Date,Station,site_no,Mean Flow,Coeff Var,Tqmean,R-B Index
1975/6/1,Wildcat,3335000,1022.8,59.18472456,0.3,0.274507887
1975/7/1,Wildcat,3335000,343.9677419,81.82525465,0.258064516,0.264278346
1975/8/1,Wildcat,3335000,626.6451613,154.7343929,0.161290323,0.575980644
1975/9/1,Wildcat,3335000,373.1333333,71.93637089,0.266666667,0.165267107
1975/10/1,Wildcat,3335000,199.516129,17.97151663,0.322580645,0.097655618
1975/11/1,Wildcat,3335000,194.9333333,38.32094223,0.2,0.114569083
1975/12/1,Wildcat,3335000,904.8709677,93.58805051,0.258064516,0.318277423
1976/1/1,Wildcat,3335000,562.2903226,49.09525497,0.387096774,0.192932132
1976/2/1,Wildcat,3335000,3226.896552,90.61737076,0.448275862,0.319726437
1976/3/1,Wildcat,3335000,1481.129032,89.78057004,0.225806452,0.229336818
1976/4/1,Wildcat,3335000,391.9666667,20.24765542,0.4,0.038183519
1976/5/1,Wildcat,3335000,230.8387097,18.49531109,0.612903226,0.049189491
1976/6/1,Wildcat,3335000,803.5,125.4971441,0.233333333,0.401493466
1976/7/1,Wildcat,3335000,632.9354839,90.03318345,0.322580645,0.302736864
1976/8/1,Wildcat,3335000,163.483871,24.11548309,0.387096774,0.092738753
1976/9/1,Wildcat,3335000,115.8,9.285306961,0.5,0.053540587
1976/10/1,Wildcat,3335000,122.9677419,24.60581311,0.387096774,0.114375656
1976/11/1,Wildcat,3335000,113.3666667,6.200599313,0.5,0.029991179
1976/12/1,Wildcat,3335000,94.80645161,22.43886108,0.64516129,0.067369854
1977/1/1,Wildcat,3335000,61.64516129,3.177400469,0.419354839,0.014652015
1977/2/1,Wildcat,3335000,241.1071429,74.45387476,0.357142857,0.24618575
1977/3/1,Wildcat,3335000,944.9677419,65.40310734,0.387096774,0.312179969
1977/4/1,Wildcat,3335000,662.7666667,61.82684136,0.333333333,0.162249158
1977/5/1,Wildcat,3335000,409.6451613,72.07887511,0.35483871,0.147649421
1977/6/1,Wildcat,3335000,129.9666667,23.32608204,0.466666667,0.083354706
1977/7/1,Wildcat,3335000,84.41935484,26.15134479,0.419354839,0.09323653
1977/8/1,Wildcat,3335000,514.3225806,94.05627278,0.290322581,0.41150276
1977/9/1,Wildcat,3335000,461.0666667,108.4118428,0.233333333,0.244577791
1977/10/1,Wildcat,3335000,1182.096774,121.2021976,0.290322581,0.245026607
1977/11/1,Wildcat,3335000,342.3333333,11.45495199,0.466666667,0.05248296
1977/12/1,Wildcat,3335000,2190.483871,88.46890784,0.322580645,0.205036448
1978/1/1,Wildcat,3335000,388.8064516,29.14349479,0.516129032,0.060648801
1978/2/1,Wildcat,3335000,224.4642857,6.62289068,0.571428571,0.023070804
1978/3/1,Wildcat,3335000,3471.870968,97.01148532,0.483870968,0.213188018
1978/4/1,Wildcat,3335000,1878.933333,57.23085196,0.366666667,0.256528527
1978/5/1,Wildcat,3335000,1096.354839,56.23902289,0.387096774,0.193103245
1978/6/1,Wildcat,3335000,985.1333333,194.3046945,0.2,0.651011707
1978/7/1,Wildcat,3335000,916.1935484,120.8006475,0.290322581,0.343039223
1978/8/1,Wildcat,3335000,228.5483871,72.2270196,0.193548387,0.235144672
1978/9/1,Wildcat,3335000,130.0666667,29.4402268,0.3,0.057662737
1978/10/1,Wildcat,3335000,108.7096774,9.907975877,0.451612903,0.048664688
1978/11/1,Wildcat,3335000,173.9666667,49.44063072,0.433333333,0.20731941
1978/12/1,Wildcat,3335000,300.6451613,49.79308127,0.322580645,0.182618026
1979/1/1,Wildcat,3335000,463.4193548,103.7410693,0.225806452,0.185855492
1979/2/1,Wildcat,3335000,874.2857143,185.0249531,0.214285714,0.547385621
1979/3/1,Wildcat,3335000,1952.677419,76.07435274,0.290322581,0.277765847
1979/4/1,Wildcat,3335000,1612.466667,74.1990844,0.333333333,0.253421259
1979/5/1,Wildcat,3335000,457.5806452,28.23355273,0.483870968,0.083679944
1979/6/1,Wildcat,3335000,245.1666667,23.66418518,0.5,0.104418763
1979/7/1,Wildcat,3335000,1079.193548,131.0210206,0.258064516,0.583440442
1979/8/1,Wildcat,3335000,769.2258065,82.9758717,0.290322581,0.248846767
1979/9/1,Wildcat,3335000,144.0333333,34.64971789,0.333333333,0.045591298
1979/10/1,Wildcat,3335000,197.3548387,33.6277183,0.387096774,0.14105917
1979/11/1,Wildcat,3335000,764.1,91.85197569,0.2,0.207651704
1979/12/1,Wildcat,3335000,814.0645161,75.85793847,0.35483871,0.202092249
1980/1/1,Wildcat,3335000,476.0967742,22.82414903,0.548387097,0.064977302
1980/2/1,Wildcat,3335000,572.2758621,117.3715164,0.24137931,0.305254278
1980/3/1,Wildcat,3335000,2115.83871,61.92468212,0.483870968,0.281319083
1980/4/1,Wildcat,3335000,1655.833333,55.23045369,0.5,0.202576749
1980/5/1,Wildcat,3335000,436.1935484,30.45163429,0.451612903,0.157816891
1980/6/1,Wildcat,3335000,2565.2,127.6005514,0.3,0.333138417
1980/7/1,Wildcat,3335000,284.516129,27.60444819,0.419354839,0.187528345
1980/8/1,Wildcat,3335000,497.9354839,111.1658386,0.258064516,0.413708215
1980/9/1,Wildcat,3335000,187.2,35.78892118,0.233333333,0.182336182
1980/10/1,Wildcat,3335000,138.9677419,11.82042068,0.387096774,0.054549675
1980/11/1,Wildcat,3335000,135.7,34.83558157,0.133333333,0.111766151
1980/12/1,Wildcat,3335000,146.7419355,15.64804295,0.35483871,0.048801934
1981/1/1,Wildcat,3335000,133.9354839,10.65166582,0.451612903,0.027456647
1981/2/1,Wildcat,3335000,654.9285714,77.25110089,0.428571429,0.206620133
1981/3/1,Wildcat,3335000,289.9032258,40.76325227,0.419354839,0.065984199
1981/4/1,Wildcat,3335000,663.2666667,78.97106931,0.4,0.229771836
1981/5/1,Wildcat,3335000,1950.806452,68.50561581,0.322580645,0.24152129
1981/6/1,Wildcat,3335000,661.3,43.01652899,0.433333333,0.213014769
1981/7/1,Wildcat,3335000,306.0322581,73.4411843,0.193548387,0.194476652
1981/8/1,Wildcat,3335000,803.7096774,213.5724363,0.161290323,0.490066225
1981/9/1,Wildcat,3335000,1311.466667,100.4207101,0.333333333,0.310288735
1981/10/1,Wildcat,3335000,702.483871,65.13420335,0.322580645,0.209349313
1981/11/1,Wildcat,3335000,525.0666667,28.25948463,0.4,0.109573388
1981/12/1,Wildcat,3335000,625.2580645,80.20283436,0.290322581,0.190011866
1982/1/1,Wildcat,3335000,1351.387097,107.2484306,0.258064516,0.471916549
1982/2/1,Wildcat,3335000,2129.464286,85.17549641,0.464285714,0.247044025
1982/3/1,Wildcat,3335000,3991.290323,54.05209644,0.419354839,0.234947062
1982/4/1,Wildcat,3335000,1692.666667,77.64980853,0.266666667,0.27475384
1982/5/1,Wildcat,3335000,690.0967742,63.74757285,0.322580645,0.184733324
1982/6/1,Wildcat,3335000,1014.433333,76.83229035,0.333333333,0.260440969
1982/7/1,Wildcat,3335000,367.1935484,43.02577004,0.35483871,0.209522973
1982/8/1,Wildcat,3335000,475.2580645,114.5963325,0.225806452,0.497658318
1982/9/1,Wildcat,3335000,174.7333333,24.71948345,0.3,0.037581076
1982/10/1,Wildcat,3335000,141.0645161,19.5856553,0.258064516,0.078893208
1982/11/1,Wildcat,3335000,410.1333333,76.78518432,0.333333333,0.257883615
1982/12/1,Wildcat,3335000,2196.354839,75.91712001,0.35483871,0.258066885
1983/1/1,Wildcat,3335000,654.5806452,53.82349885,0.322580645,0.08205204
1983/2/1,Wildcat,3335000,636.8928571,48.77925565,0.25,0.154488869
1983/3/1,Wildcat,3335000,545.4193548,58.05608029,0.290322581,0.145434114
1983/4/1,Wildcat,3335000,1728.066667,48.78673489,0.466666667,0.233652251
1983/5/1,Wildcat,3335000,2613.935484,151.3009174,0.193548387,0.410813012
1983/6/1,Wildcat,3335000,577,50.06449272,0.333333333,0.216984402
1983/7/1,Wildcat,3335000,260.1612903,72.23703662,0.258064516,0.136639802
1983/8/1,Wildcat,3335000,146.9032258,21.59171571,0.35483871,0.090909091
1983/9/1,Wildcat,3335000,118.9,20.76559165,0.233333333,0.08522568
1983/10/1,Wildcat,3335000,181.9677419,55.33659254,0.225806452,0.174082609
1983/11/1,Wildcat,3335000,319.9666667,65.07251331,0.4,0.150015627
1983/12/1,Wildcat,3335000,1342.193548,80.87409899,0.35483871,0.255623918
1984/1/1,Wildcat,3335000,234.483871,28.70207815,0.35483871,0.044022562
1984/2/1,Wildcat,3335000,1658.655172,108.6316653,0.344827586,0.318309391
1984/3/1,Wildcat,3335000,2271.548387,87.29943447,0.451612903,0.214377006
1984/4/1,Wildcat,3335000,1227.666667,31.11724933,0.466666667,0.166033125
1984/5/1,Wildcat,3335000,1005.290323,77.66985106,0.35483871,0.232896932
1984/6/1,Wildcat,3335000,501.5333333,45.20237805,0.366666667,0.186694138
